user_detail_id,first_name,last_name,gender,age,username,password,email,phone_number,address
1,Maryadi,Suwarno,F,64,suwarno32,tUwA5Y2ze@,maryadi.suwarno@hotmail.com,(032) 355-8948,"Gg. K.H. Wahid Hasyim No. 9, Lubuklinggau, Kalimantan Tengah 16047"
2,Maryadi,Prasasta,M,20,maryadi178,@5PB(vVa9k,maryadi.prasasta@hotmail.com,+62 (13) 112-2684,"Gg. Kutisari Selatan No. 13, Tasikmalaya, Riau 21022"
3,Gawati,Gunawan,M,24,gawati449,Q7X0e*iW%u,gawati.gunawan@yahoo.com,+62 (036) 367 0350,"Gang Siliwangi No. 84, Tual, Banten 38796"
4,Daliono,Hutasoit,F,35,hutasoit901,0S$JE4tf#t,daliono.hutasoit@gmail.com,089 172 9989,"Gg. Laswi No. 3, Pangkalpinang, Nusa Tenggara Timur 39145"
5,Harjaya,Waluyo,F,32,harjaya401,f!lK7_LOUk,harjaya.waluyo@yahoo.com,+62-56-603-1705,"Gg. Monginsidi No. 0, Kota Administrasi Jakarta Utara, Riau 94088"
6,Ajiono,Novitasari,M,21,novitasari497,j+(13JOfFH,ajiono.novitasari@gmail.com,0858833572,"Jl. Raya Setiabudhi No. 2, Pariaman, JA 51266"
7,Purwa,Aryani,F,38,aryani750,M!78U5vf8J,purwa.aryani@hotmail.com,+62-0360-184-6889,"Gg. Rawamangun No. 146, Tasikmalaya, LA 46885"
8,Raharja,Latupono,F,36,latupono729,@q8NruPjR^,raharja.latupono@yahoo.com,(0366) 129 1152,"Jalan Pacuan Kuda No. 394, Padangpanjang, Kepulauan Bangka Belitung 68340"
9,Nrima,Safitri,M,60,safitri877,q+d1D@qo4z,nrima.safitri@hotmail.com,+62 (238) 947 6625,"Jalan Erlangga No. 2, Gorontalo, AC 48647"
10,Kuncara,Rahimah,M,38,kuncara583,emcBq78C&5,kuncara.rahimah@hotmail.com,+62 (81) 230-4871,"Gg. Sadang Serang No. 2, Sukabumi, AC 68909"
11,Hamima,Wijayanti,M,28,hamima852,@$4Pxke&x$,hamima.wijayanti@gmail.com,+62 (820) 279-6127,"Gang Jamika No. 1, Kota Administrasi Jakarta Timur, Sulawesi Barat 05015"
12,Clara,Winarsih,F,33,clara351,nGID#els!4,clara.winarsih@yahoo.com,+62-099-441-2740,"Gg. Cempaka No. 1, Batu, Jawa Tengah 12378"
13,Banara,Maryadi,F,20,maryadi708,ZU2C2xkuL&,banara.maryadi@hotmail.com,0895684759,"Gang Rawamangun No. 450, Palembang, SN 74667"
14,Karya,Sudiati,F,49,karya65,lv59RjkI*6,karya.sudiati@yahoo.com,+62 (895) 311 4664,"Jalan Soekarno Hatta No. 09, Blitar, KB 27891"
15,Opan,Pudjiastuti,M,43,opan900,MxMJQD@u^7,opan.pudjiastuti@yahoo.com,+62 (0212) 856-3030,"Jalan Raya Ujungberung No. 404, Bau-Bau, Sumatera Selatan 74714"
16,Karna,Permadi,M,23,karna843,$P)xXtdZ5m,karna.permadi@gmail.com,+62 (0618) 959 9693,"Gang Rungkut Industri No. 0, Binjai, BB 13167"
17,Unggul,Wijayanti,F,21,unggul610,pV8Ao_PF%I,unggul.wijayanti@gmail.com,+62 (581) 811-4416,"Gang Erlangga No. 204, Pangkalpinang, Sulawesi Utara 02899"
18,Darsirah,Prasasta,M,58,darsirah822,)4Ttv8ax13,darsirah.prasasta@gmail.com,(0763) 668-7143,"Jalan Kebonjati No. 72, Padang, YO 36333"
19,Puji,Susanti,M,40,susanti982,@oXr12SujU,puji.susanti@gmail.com,+62-580-669-6180,"Gg. Joyoboyo No. 1, Palu, SR 81191"
20,Garang,Wahyudin,F,36,wahyudin592,olJThhvI%6,garang.wahyudin@yahoo.com,+62 (0387) 807-8472,"Gang Wonoayu No. 184, Dumai, MU 25618"
21,Tirta,Gunarto,F,47,tirta221,)2dA%)nVS2,tirta.gunarto@hotmail.com,0847068346,"Gg. Suryakencana No. 061, Ambon, Sulawesi Utara 13089"
22,Wage,Megantara,F,24,megantara629,*9+$gK2cIZ,wage.megantara@yahoo.com,+62 (0026) 680 8839,"Jalan Rumah Sakit No. 306, Purwokerto, Maluku 70226"
23,Cornelia,Pradipta,F,43,cornelia493,qzYz7SXoT#,cornelia.pradipta@hotmail.com,+62 (077) 327-7948,"Jl. Dr. Djunjunan No. 76, Tegal, Kalimantan Utara 50442"
24,Prayitna,Sitompul,F,46,sitompul21,@*nbEYcoa3,prayitna.sitompul@gmail.com,+62 (88) 972 2163,"Jl. M.T Haryono No. 00, Cirebon, KT 64913"
25,Irsad,Haryanto,M,38,irsad996,%W3T2Qtw!t,irsad.haryanto@gmail.com,0807063739,"Jalan Ahmad Dahlan No. 4, Singkawang, NB 97198"
26,Mitra,Haryanti,M,57,mitra911,$sh8R!HtwG,mitra.haryanti@gmail.com,+62 (032) 944-6837,"Jl. Rajawali Timur No. 093, Bandung, Sulawesi Utara 80949"
